X,Y,Z,SensorValue
0.252,1.088,0.7,286
0.252,0.924,0.7,289
0.252,0.752,0.7,289
0.252,0.58,0.7,288
0.252,0.42,0.7,288
0.252,0.248,0.7,286
0.252,0.088,0.7,286
0.252,0.004,0.7,286
0.252,0.0,0.7,288
0.252,0.0,0.744,288
0.252,0.0,0.892,287
0.252,0.0,1.056,309
0.252,0.0,1.224,307
0.252,0.0,1.36,306
0.252,0.0,1.4,304
0.252,0.0,1.4,306
0.252,0.048,1.4,314
0.252,0.188,1.4,314
0.252,0.36,1.4,303
0.252,0.524,1.4,310
0.252,0.696,1.4,311
0.252,0.856,1.4,312
0.252,1.028,1.4,315
0.252,1.192,1.4,314
0.252,1.364,1.4,324
0.252,1.528,1.4,325
0.252,1.696,1.4,329
0.252,1.868,1.4,332
0.252,2.032,1.4,325
0.252,2.2,1.4,321
0.252,2.364,1.4,291
0.252,2.536,1.4,285
0.252,2.7,1.4,282
0.252,2.868,1.4,265
0.252,3.036,1.4,294
0.252,3.204,1.4,283
0.252,3.368,1.4,258
0.252,3.54,1.4,259
0.252,3.7,1.4,264
0.252,3.872,1.4,263
0.252,4.036,1.4,281
0.252,4.208,1.4,265
0.252,4.376,1.4,254
0.252,4.54,1.4,246
0.252,4.712,1.4,238
0.252,4.876,1.4,235
0.252,5.048,1.4,240
0.252,5.208,1.4,227
0.252,5.38,1.4,219
0.252,5.544,1.4,220
0.252,5.716,1.4,214
0.252,5.88,1.4,218
0.252,6.048,1.4,210
0.252,6.212,1.4,229
0.252,6.384,1.4,234
0.252,6.548,1.4,252
0.252,6.716,1.4,247
0.252,6.888,1.4,250
0.252,7.052,1.4,278
0.252,7.224,1.4,284
0.252,7.388,1.4,300
0.252,7.556,1.4,333
0.252,7.72,1.4,329
0.252,7.892,1.4,317
0.252,8.056,1.4,314
0.252,8.224,1.4,323
0.252,8.388,1.4,328
0.252,8.56,1.4,335
0.252,8.724,1.4,332
0.252,8.892,1.4,326
0.252,9.06,1.4,327
0.252,9.228,1.4,319
0.252,9.4,1.4,333
0.252,9.564,1.4,262
0.252,9.732,1.4,262
0.252,9.896,1.4,263
0.252,10.068,1.4,250
0.252,10.232,1.4,265
0.252,10.4,1.4,265
0.252,10.564,1.4,320
0.252,10.736,1.4,315
0.252,10.9,1.4,324
0.252,11.072,1.4,336
0.252,11.232,1.4,324
0.252,11.404,1.4,333
0.252,11.568,1.4,332
0.252,11.736,1.4,334
0.252,11.908,1.4,311
0.252,12.072,1.4,277
0.252,12.244,1.4,268
0.252,12.408,1.4,261
0.252,12.576,1.4,265
0.252,12.74,1.4,281
0.252,12.912,1.4,300
0.252,13.076,1.4,307
0.252,13.244,1.4,317
0.252,13.408,1.4,321
0.252,13.58,1.4,317
0.252,13.744,1.4,314
0.252,13.916,1.4,317
0.252,14.076,1.4,307
0.252,14.248,1.4,305
